duty cycle (-)	amplitude (Pa)	normalized firing rate (-)
0.1794871794871795	59578.775170651876	
0.1794871794871795	66173.66560366057	
0.1794871794871795	73498.55727786303	
0.1794871794871795	81634.25544962553	
0.1794871794871795	90670.50986621024	0.9997145471402192
0.1794871794871795	100707.0048488604	0.9997285973910834
0.1794871794871795	111854.45897010346	0.9997102079775452
0.1794871794871795	124235.84645647575	0.999722433673494
0.1794871794871795	137987.75379068567	0.9997194462644988
0.1794871794871795	153261.88647871045	0.9997327425648656
0.1794871794871795	170226.74260386958	0.9997644326836204
0.1794871794871795	189069.4716298515	0.9997443690807892
0.1794871794871795	209997.93895826172	0.9997581982127371
0.1794871794871795	233243.01901605987	0.9997344457232824
0.1794871794871795	259061.14216929968	0.9998069031486158
0.1794871794871795	287737.1235597027	0.9998489679506932
0.1794871794871795	319587.3050706517	0.9997623861337294
0.1794871794871795	354963.04508350854	0.9997988536924756
0.1794871794871795	394254.5945218393	0.9997722812339588
0.1794871794871795	437895.401942509	0.9997500134561416
0.1794871794871795	486366.8951656802	0.999708084640342
0.1794871794871795	540203.7921927313	0.999796281187654
0.1794871794871795	600000.0000000003	0.9997538154812212
0.20512820512820512	10000.0	
0.20512820512820512	11106.919438024492	
0.20512820512820512	12336.365940276655	
0.20512820512820512	13701.902265664208	
0.20512820512820512	15218.592461241791	
0.20512820512820512	16903.168042713947	
0.20512820512820512	18774.21256978144	
0.20512820512820512	20852.366652490917	
0.20512820512820512	23160.555650136557	
0.20512820512820512	25724.24257459497	
0.20512820512820512	28571.708988022667	
0.20512820512820512	31734.366993664804	
0.20512820512820512	35247.10576153392	
0.20512820512820512	39148.67641168862	
0.20512820512820512	43482.11950099161	
0.20512820512820512	48295.23982920676	
0.20512820512820512	53641.13380230722	
0.20512820512820512	59578.775170651876	
0.20512820512820512	66173.66560366057	
0.20512820512820512	73498.55727786303	
0.20512820512820512	81634.25544962553	
0.20512820512820512	90670.50986621024	0.9997444148709744
0.20512820512820512	100707.0048488604	0.9996973884351196
0.20512820512820512	111854.45897010346	0.9996959844763259
0.20512820512820512	124235.84645647575	0.9997228102875042
0.20512820512820512	137987.75379068567	0.9997177966303862
0.20512820512820512	153261.88647871045	0.9997264232613702
0.20512820512820512	170226.74260386958	0.9997525719460416
0.20512820512820512	189069.4716298515	0.9997578247542211
0.20512820512820512	209997.93895826172	0.9997794311122604
0.20512820512820512	233243.01901605987	0.9997305546378016
0.20512820512820512	259061.14216929968	0.9997891325767287
0.20512820512820512	287737.1235597027	0.9998208404655936
0.20512820512820512	319587.3050706517	0.9997914943648244
0.20512820512820512	354963.04508350854	0.9998173865583906
0.20512820512820512	394254.5945218393	0.9997984567720438
0.20512820512820512	437895.401942509	0.9997523692366864
0.20512820512820512	486366.8951656802	0.9997976131284712
0.20512820512820512	540203.7921927313	0.999738651841278
0.20512820512820512	600000.0000000003	0.9997961367722032
0.23076923076923075	10000.0	
0.23076923076923075	11106.919438024492	
0.23076923076923075	12336.365940276655	
0.23076923076923075	13701.902265664208	
0.23076923076923075	15218.592461241791	
0.23076923076923075	16903.168042713947	
0.23076923076923075	18774.21256978144	
0.23076923076923075	20852.366652490917	
0.23076923076923075	23160.555650136557	
0.23076923076923075	25724.24257459497	
0.23076923076923075	28571.708988022667	
0.23076923076923075	31734.366993664804	
0.23076923076923075	35247.10576153392	
0.23076923076923075	39148.67641168862	
0.23076923076923075	43482.11950099161	
0.23076923076923075	48295.23982920676	
0.23076923076923075	53641.13380230722	
0.23076923076923075	59578.775170651876	
0.23076923076923075	66173.66560366057	
0.23076923076923075	73498.55727786303	
0.23076923076923075	81634.25544962553	
0.23076923076923075	90670.50986621024	0.9997679146434918
0.23076923076923075	100707.0048488604	0.9996305140356988
0.23076923076923075	111854.45897010346	0.9996946297930188
0.23076923076923075	124235.84645647575	0.9997191284446604
0.23076923076923075	137987.75379068567	0.999697528982718
0.23076923076923075	153261.88647871045	0.9997196771873816
0.23076923076923075	170226.74260386958	0.9997279047028396
0.23076923076923075	189069.4716298515	0.9997368371419036
0.23076923076923075	209997.93895826172	0.99976387775284
0.23076923076923075	233243.01901605987	0.9997051056821232
0.23076923076923075	259061.14216929968	0.9997497694987332
0.23076923076923075	287737.1235597027	0.9997680982712392
0.23076923076923075	319587.3050706517	0.9997463808617142
0.23076923076923075	354963.04508350854	0.9997924160667484
0.23076923076923075	394254.5945218393	0.9997998824716992
0.23076923076923075	437895.401942509	0.9997909074050472
0.23076923076923075	486366.8951656802	0.9997972581537842
0.23076923076923075	540203.7921927313	0.9997561493501508
