tau_m (s)	tau_ax (s)	rmse (mV)
0.002976351441631319	1.274274985703132e-05	0.0160268756992459
0.002976351441631319	2.335721469090121e-05	0.006304909392404213
0.002976351441631319	4.281332398719396e-05	0.003660334385454295
0.002976351441631319	7.847599703514605e-05	0.0027219834626432265
0.002976351441631319	0.0001438449888287663	0.0025190333217970763
0.002976351441631319	0.00026366508987303583	0.002795483243392448
0.002976351441631319	0.00048329302385717517	0.00537208034983423
0.002976351441631319	0.0008858667904100822	0.002642812328504373
0.002976351441631319	0.001623776739188721	0.013374657988122
0.002976351441631319	0.002976351441631319	0.019293844563858555
0.002976351441631319	0.005455594781168515	0.01657610696779836
0.002976351441631319	0.01	0.008422075674900466
0.005455594781168515	1e-07	3.668048248439697
0.005455594781168515	1.832980710832437e-07	3.5411102349306733
0.005455594781168515	3.359818286283781e-07	3.1731263007818047
0.005455594781168515	6.158482110660267e-07	2.353578243117372
0.005455594781168515	1.1288378916846883e-06	1.2609497030317551
0.005455594781168515	2.06913808111479e-06	0.4928167631034509
0.005455594781168515	3.792690190732254e-06	0.1619096525405866
0.005455594781168515	6.951927961775606e-06	0.04995743273351777
0.005455594781168515	1.274274985703132e-05	0.015577199417733462
0.005455594781168515	2.335721469090121e-05	0.005575017026660987
0.005455594781168515	4.281332398719396e-05	0.00289199758847657
0.005455594781168515	7.847599703514605e-05	0.002297705989652633
0.005455594781168515	0.0001438449888287663	0.0022439937667848935
0.005455594781168515	0.00026366508987303583	0.0025545494670950945
0.005455594781168515	0.00048329302385717517	0.002512984630889968
0.005455594781168515	0.0008858667904100822	0.0035710909880063936
0.005455594781168515	0.001623776739188721	0.010665877944582621
0.005455594781168515	0.002976351441631319	0.008917864200447097
0.005455594781168515	0.005455594781168515	0.012545475553515987
0.005455594781168515	0.01	0.006624163099736468
0.01	1e-07	3.6679578829574178
0.01	1.832980710832437e-07	3.5410118045792536
0.01	3.359818286283781e-07	3.1730164719814886
0.01	6.158482110660267e-07	2.35342995769358
0.01	1.1288378916846883e-06	1.2607703170641371
0.01	2.06913808111479e-06	0.4926631530746463
0.01	3.792690190732254e-06	0.1617821302474075
0.01	6.951927961775606e-06	0.04980697402404752
0.01	1.274274985703132e-05	0.015324449424409954
0.01	2.335721469090121e-05	0.005153547906101418
0.01	4.281332398719396e-05	0.0023967804078983963
0.01	7.847599703514605e-05	0.0017587147764427506
0.01	0.0001438449888287663	0.0020239138463208086
0.01	0.00026366508987303583	0.002204655158706805
0.01	0.00048329302385717517	0.0026158330259738274
0.01	0.0008858667904100822	0.008033443652770133
0.01	0.001623776739188721	0.004468280069974887
0.01	0.002976351441631319	0.01392213482424488
0.01	0.005455594781168515	0.015948126086781172
0.01	0.01	0.025099472666933003
